"Points:0","Points:1","Points:2"
-13.1579,1.2376,1.25
-12.3482,2.2277,1.25
-11.5385,3.2178,1.25
-10.7287,4.2079,1.25
-9.5142,4.70295,1.25
-8.2996,5.198,1.25
-7.8947,3.71285,1.25
-7.8947,2.72275,1.25
-7.8947,1.73265,1.25
-7.085,0.74255,1.25
-6.2753,1.73265,1.25
-5.8704,3.2178,1.25
-5.4656,2.72275,1.25
-5.0607,1.2376,1.25
-5.0607,-0.74255,1.25
-4.6559,-2.2277,1.25
-5.0607,-3.71285,1.25
-5.0607,-4.70295,1.25
-5.0607,-5.69305,1.25
-5.4656,-7.1782,1.25
-6.2753,-8.1683,1.25
-7.4899,-8.66335,1.25
-7.8947,-10.1485,1.25
-8.7045,-10.1485,1.25
-9.5142,-9.1584,1.25
-10.3239,-8.1683,1.25
-11.1336,-7.1782,1.25
-11.9433,-6.1881,1.25
-12.3482,-5.69305,1.25
-12.3482,-3.71285,1.25
-13.1579,-2.72275,1.25
-13.1579,-1.73265,1.25
-12.753,-0.2475,1.25
-13.1579,1.2376,1.25
-13.1579,1.2376,1.25
