Points:0,Points:1,Points:2
-14.7773,3.7624,0.5
-13.9676,5.2475,0.5
-13.1579,6.73265,0.5
-12.3482,8.2178,0.5
-11.1336,9.2079,0.5
-9.5142,9.70295,0.5
-7.8947,10.198,0.5
-6.6802,9.2079,0.5
-5.8704,7.72275,0.5
-5.8704,5.2475,0.5
-5.8704,3.7624,0.5
-5.8704,2.27725,0.5
-5.4656,0.29705,0.5
-5.4656,-1.1881,0.5
-5.8704,-3.1683,0.5
-6.6802,-4.65345,0.5
-8.7045,-4.65345,0.5
-10.3239,-4.1584,0.5
-11.5385,-3.1683,0.5
-12.3482,-1.68315,0.5
-13.1579,-0.198,0.5
-13.9676,1.28715,0.5
-14.7773,2.7723,0.5
-14.7773,3.7624,0.5
