"Points:0","Points:1","Points:2"
0.433198,0.376238,0.000000
0.441296,0.396040,0.000000
0.453441,0.405941,0.000000
0.469636,0.405941,0.000000
0.485830,0.405941,0.000000
0.497976,0.396040,0.000000
0.510121,0.405941,0.000000
0.514170,0.376238,0.000000
0.506073,0.356436,0.000000
0.510121,0.326733,0.000000
0.510121,0.287129,0.000000
0.497976,0.277228,0.000000
0.489879,0.277228,0.000000
0.481781,0.277228,0.000000
0.473684,0.277228,0.000000
0.465587,0.297030,0.000000
0.449393,0.297030,0.000000
0.441296,0.316832,0.000000
0.433198,0.336634,0.000000
0.433198,0.376238,0.000000
0.433198,0.376238,0.000000
