"Points:0","Points:1","Points:2"
0.270777,0.270777222,0
0.271744211,0.3763945,0
0.302137394,0.430063889,0
0.358127761,0.454425778,0
0.3480843,0.480972167,0
0.381214467,0.481997944,0
0.423702872,0.481225444,0
0.443753794,0.528461389,0
0.486703556,0.548365167,0
0.514947817,0.560796611,0
0.502751167,0.596313833,0
0.524254172,0.616076722,0
0.547324289,0.6511455,0
0.591573889,0.6810985,0
0.627136389,0.683255944,0
0.629810778,0.717078722,0
0.663446556,0.7224075,0
0.660240722,0.822610056,0
0.690270889,0.889495444,0
0.728151611,0.872659556,0
0.739535667,0.829258889,0
0.798066222,0.770850778,0
0.823351944,0.733136556,0
0.817942944,0.617315389,0
0.773047278,0.620121444,0
0.765714167,0.575533444,0
0.7244955,0.558999222,0
0.692606056,0.549932,0
0.661716333,0.526947944,0
0.649584222,0.492449389,0
0.616198444,0.483193667,0
0.603259722,0.455691889,0
0.574685389,0.443966,0
0.561062167,0.410798556,0
0.594867611,0.371792278,0
0.570444833,0.3669975,0
0.534539056,0.361971333,0
0.504729167,0.343142944,0
0.475385889,0.333727111,0
0.465717122,0.258828889,0
0.458777617,0.211851111,0
0.448187717,0.157369444,0
0.451682506,0.105384444,0
0.450686756,0.07505,0
0.442020833,0.054812222,0
0.3661803,0.043492778,0
0.366379356,0.074614444,0
0.370218939,0.108668889,0
0.360568322,0.169761667,0
0.308243511,0.233685556,0
0.270776983,0.270777222,0
