Points:0,Points:1,Points:2
0.770777,0.270777222,0
0.771744211,0.3763945,0
0.802137394,0.430063889,0
0.858127761,0.454425778,0
0.8480843,0.480972167,0
0.881214467,0.481997944,0
0.923702872,0.481225444,0
0.943753794,0.528461389,0
0.986703556,0.548365167,0
1.014947817,0.560796611,0
1.002751167,0.596313833,0
1.024254172,0.616076722,0
1.047324289,0.6511455,0
1.091573889,0.6810985,0
1.127136389,0.683255944,0
1.129810778,0.717078722,0
1.163446556,0.7224075,0
1.160240722,0.822610056,0
1.190270889,0.889495444,0
1.228151611,0.872659556,0
1.239535667,0.829258889,0
1.298066222,0.770850778,0
1.323351944,0.733136556,0
1.317942944,0.617315389,0
1.273047278,0.620121444,0
1.265714167,0.575533444,0
1.2244955,0.558999222,0
1.192606056,0.549932,0
1.161716333,0.526947944,0
1.149584222,0.492449389,0
1.116198444,0.483193667,0
1.103259722,0.455691889,0
1.074685389,0.443966,0
1.061062167,0.410798556,0
1.094867611,0.371792278,0
1.070444833,0.3669975,0
1.034539056,0.361971333,0
1.004729167,0.343142944,0
0.975385889,0.333727111,0
0.965717122,0.258828889,0
0.958777617,0.211851111,0
0.948187717,0.157369444,0
0.951682506,0.105384444,0
0.950686756,0.07505,0
0.942020833,0.054812222,0
0.8661803,0.043492778,0
0.866379356,0.074614444,0
0.870218939,0.108668889,0
0.860568322,0.169761667,0
0.808243511,0.233685556,0
0.770777,0.270777222,0
