"Points:0","Points:1","Points:2"
0.229223,0.270777,0.000000
0.228256,0.376395,0.000000
0.197863,0.430064,0.000000
0.141872,0.454426,0.000000
0.151916,0.480972,0.000000
0.118786,0.481998,0.000000
0.076297,0.481225,0.000000
0.056246,0.528461,0.000000
0.013296,0.548365,0.000000
0.010000,0.560797,0.000000
0.010000,0.596314,0.000000
0.010000,0.616077,0.000000
0.010000,0.651146,0.000000
0.010000,0.681099,0.000000
0.010000,0.683256,0.000000
0.010000,0.717079,0.000000
0.010000,0.722407,0.000000
0.010000,0.822610,0.000000
0.010000,0.889495,0.000000
0.010000,0.872660,0.000000
0.010000,0.829259,0.000000
0.010000,0.770851,0.000000
0.010000,0.733137,0.000000
0.010000,0.617315,0.000000
0.010000,0.620121,0.000000
0.010000,0.575533,0.000000
0.010000,0.558999,0.000000
0.010000,0.549932,0.000000
0.010000,0.526948,0.000000
0.010000,0.492449,0.000000
0.010000,0.483194,0.000000
0.010000,0.455692,0.000000
0.010000,0.443966,0.000000
0.010000,0.410799,0.000000
0.010000,0.371792,0.000000
0.010000,0.366997,0.000000
0.010000,0.361971,0.000000
0.010000,0.343143,0.000000
0.024614,0.333727,0.000000
0.034283,0.258829,0.000000
0.041222,0.211851,0.000000
0.051812,0.157369,0.000000
0.048317,0.105384,0.000000
0.049313,0.075050,0.000000
0.057979,0.054812,0.000000
0.133820,0.043493,0.000000
0.133621,0.074614,0.000000
0.129781,0.108669,0.000000
0.139432,0.169762,0.000000
0.191756,0.233686,0.000000
0.229223,0.270777,0.000000
