Points:0,Points:1,Points:2
0.265,0.1775,3
0.27,0.1775,3
0.275,0.1775,3
0.28,0.1775,3
0.285,0.1775,3
0.29,0.1775,3
0.295,0.1775,3
0.3,0.1775,3
0.25,0.1825,3
0.255,0.1825,3
0.2625,0.18,3
0.26,0.1825,3
0.3025,0.18,3
0.305,0.1825,3
0.325,0.1825,3
0.33,0.1825,3
0.335,0.1825,3
0.34,0.1825,3
0.345,0.1825,3
0.35,0.1825,3
0.355,0.1825,3
0.36,0.1825,3
0.365,0.1825,3
0.2475,0.185,3
0.245,0.1875,3
0.3075,0.185,3
0.31,0.1875,3
0.315,0.1875,3
0.3225,0.185,3
0.32,0.1875,3
0.3675,0.185,3
0.37,0.1875,3
0.235,0.1925,3
0.2425,0.19,3
0.24,0.1925,3
0.3725,0.19,3
0.375,0.1925,3
0.2325,0.195,3
0.23,0.1975,3
0.3775,0.195,3
0.2275,0.2,3
0.225,0.2025,3
0.3775,0.2,3
0.2225,0.205,3
0.22,0.2075,3
0.3775,0.205,3
0.2175,0.21,3
0.215,0.2125,3
0.3775,0.21,3
0.2125,0.215,3
0.3775,0.215,3
0.2125,0.22,3
0.3775,0.22,3
0.2125,0.225,3
0.3775,0.225,3
0.38,0.2275,3
0.2125,0.23,3
0.3825,0.23,3
0.385,0.2325,3
0.39,0.2325,3
0.395,0.2325,3
0.4,0.2325,3
0.405,0.2325,3
0.41,0.2325,3
0.415,0.2325,3
0.2125,0.235,3
0.4175,0.235,3
0.42,0.2375,3
0.2125,0.24,3
0.4225,0.24,3
0.425,0.2425,3
0.2125,0.245,3
0.21,0.2475,3
0.4275,0.245,3
0.43,0.2475,3
0.18,0.2525,3
0.185,0.2525,3
0.19,0.2525,3
0.195,0.2525,3
0.2,0.2525,3
0.2075,0.25,3
0.205,0.2525,3
0.4325,0.25,3
0.1775,0.255,3
0.175,0.2575,3
0.4325,0.255,3
0.165,0.2625,3
0.1725,0.26,3
0.17,0.2625,3
0.4325,0.26,3
0.135,0.2675,3
0.14,0.2675,3
0.145,0.2675,3
0.15,0.2675,3
0.155,0.2675,3
0.1625,0.265,3
0.16,0.2675,3
0.4325,0.265,3
0.435,0.2675,3
0.1325,0.27,3
0.13,0.2725,3
0.4375,0.27,3
0.1275,0.275,3
0.125,0.2775,3
0.4375,0.275,3
0.1225,0.28,3
0.12,0.2825,3
0.4375,0.28,3
0.1175,0.285,3
0.4375,0.285,3
0.1175,0.29,3
0.4375,0.29,3
0.435,0.2925,3
0.1175,0.295,3
0.4325,0.295,3
0.1175,0.3,3
0.4325,0.3,3
0.1175,0.305,3
0.4325,0.305,3
0.435,0.3075,3
0.1175,0.31,3
0.12,0.3125,3
0.4375,0.31,3
0.44,0.3125,3
0.445,0.3125,3
0.45,0.3125,3
0.1225,0.315,3
0.125,0.3175,3
0.4525,0.315,3
0.455,0.3175,3
0.1275,0.32,3
0.13,0.3225,3
0.4575,0.32,3
0.46,0.3225,3
0.1325,0.325,3
0.135,0.3275,3
0.14,0.3275,3
0.145,0.3275,3
0.4625,0.325,3
0.1475,0.33,3
0.15,0.3325,3
0.4625,0.33,3
0.465,0.3325,3
0.1525,0.335,3
0.155,0.3375,3
0.16,0.3375,3
0.165,0.3375,3
0.17,0.3375,3
0.175,0.3375,3
0.18,0.3375,3
0.185,0.3375,3
0.19,0.3375,3
0.4675,0.335,3
0.47,0.3375,3
0.1925,0.34,3
0.195,0.3425,3
0.2,0.3425,3
0.205,0.3425,3
0.21,0.3425,3
0.215,0.3425,3
0.22,0.3425,3
0.225,0.3425,3
0.23,0.3425,3
0.235,0.3425,3
0.24,0.3425,3
0.245,0.3425,3
